"";"x"
"nbClusters";"4"
"percent A";"0.520361990950226"
"percent B";"0.208144796380091"
"percent C";"0.194570135746606"
"percent D";"0.0769230769230769"
"Calinski.Harabatz";"69.913790448367"
"Calinski.Harabatz2";"0.979912542120712"
"Calinski.Harabatz3";"121.094237206295"
"Ray.Turi";"-0.168122042794628"
"Davies.Bouldin";"-1.53342218001523"
"BIC";"-3535.7627012738"
"BIC2";"-3569.56089743492"
"AIC";"-3464.40128454193"
"AICc";"-3469.04450062233"
"AICc2";"-3465.25447013749"
"postProbaGlobal";"0.848308488522308"
"random";"1.54870299893133"
"algorithmUsed";"kmeans, fast (C)"
"convergenceTime";"11"
